id,time,price,aggressing,aggressingOwner,direction,resting,restingOwner,volume
2,2,99.53,5,TRADER_DQL_00,BUY,3,TRADER_RANDOM_00,1
3,1001,98.98,557,TRADER_Q_LEARNING_00,BUY,556,TRADER_RANDOM_05,1
4,1201,99.53,689,TRADER_DQL_00,SELL,688,TRADER_RANDOM_01,1
5,1203,99.76,692,TRADER_DQL_00,BUY,243,TRADER_RANDOM_03,1
6,1406,99.83,810,TRADER_DQL_00,SELL,808,TRADER_RANDOM_02,1
7,1406,99.48,810,TRADER_DQL_00,SELL,809,TRADER_RANDOM_07,1
8,1407,99.83,811,TRADER_DQL_00,BUY,554,TRADER_RANDOM_00,1
9,1407,99.87,811,TRADER_DQL_00,BUY,400,TRADER_RANDOM_04,1
10,2001,99.30,1097,TRADER_DQL_00,SELL,1096,TRADER_RANDOM_00,1
11,2001,99.24,1100,TRADER_Q_LEARNING_00,BUY,1098,TRADER_RANDOM_10,1
12,2202,99.30,1302,TRADER_DQL_00,SELL,1300,TRADER_RANDOM_11,1
13,2207,99.30,1303,TRADER_DQL_00,BUY,975,TRADER_RANDOM_04,1
14,2207,99.32,1303,TRADER_DQL_00,BUY,973,TRADER_RANDOM_09,1
15,2208,99.30,1304,TRADER_DQL_00,SELL,1301,TRADER_RANDOM_06,1
16,2209,99.32,1305,TRADER_DQL_00,BUY,1298,TRADER_RANDOM_01,1
17,2401,99.56,1435,TRADER_RANDOM_07,SELL,1433,TRADER_RANDOM_02,1
18,2412,98.61,1436,TRADER_DQL_00,SELL,1434,TRADER_RANDOM_12,1
19,2413,99.56,1437,TRADER_DQL_00,BUY,1099,TRADER_RANDOM_05,1
20,2606,100.09,1620,TRADER_DQL_00,SELL,1619,TRADER_RANDOM_08,1
21,2750,100.09,1670,TRADER_DQL_00,BUY,690,TRADER_RANDOM_06,1
22,2801,100.18,1722,TRADER_DQL_00,SELL,1721,TRADER_RANDOM_09,1
23,2850,100.18,1725,TRADER_DQL_00,BUY,88,TRADER_RANDOM_02,1
24,2851,100.05,1726,TRADER_DQL_00,SELL,1724,TRADER_RANDOM_04,1
25,2852,99.53,1727,TRADER_DQL_00,SELL,1723,TRADER_RANDOM_14,1
26,2910,100.28,1728,TRADER_DQL_00,BUY,1617,TRADER_RANDOM_13,1
27,2978,100.45,1791,TRADER_DQL_00,BUY,6,TRADER_RANDOM_01,1
28,3001,100.01,1817,TRADER_Q_LEARNING_00,SELL,1816,TRADER_RANDOM_15,1
30,3201,99.22,2020,TRADER_DQL_00,SELL,2019,TRADER_RANDOM_01,1
29,3201,99.56,2020,TRADER_DQL_00,SELL,2018,TRADER_RANDOM_16,1
31,3311,99.56,2023,TRADER_DQL_00,BUY,1818,TRADER_RANDOM_10,1
32,3312,99.88,2024,TRADER_DQL_00,BUY,2022,TRADER_RANDOM_06,1
33,3424,100.00,2031,TRADER_DQL_00,SELL,2027,TRADER_RANDOM_07,1
34,3425,100.00,2032,TRADER_DQL_00,BUY,2021,TRADER_RANDOM_11,1
35,3569,100.00,2033,TRADER_DQL_00,SELL,2028,TRADER_RANDOM_02,1
36,3570,100.02,2034,TRADER_DQL_00,BUY,1814,TRADER_RANDOM_00,1
